,id,text,created_at
0,1620571474405867521,VP Harris to attend Nichols funeral as prosecutors weigh more charges https://t.co/BhR9pZoFjW https://t.co/9MkjEc5T4v,2023-01-31 23:55:22+00:00
1,1620570201493315606,Morning Bid: Fed games https://t.co/XOn874QTOQ https://t.co/4fiSTSwC6e,2023-01-31 23:50:19+00:00
2,1620570120979456001,"Vintage cars including Mercedes, MG Motors, Rolls-Royce, and Wolseley rolled out on the streets of Kolkata, India, taking auto-enthusiasts back in time https://t.co/tEF0CCVY4P",2023-01-31 23:50:00+00:00
3,1620568974109937664,"China leads the world in counterfeit, pirated products -U.S. report https://t.co/ECjPi7IcCp https://t.co/XQDy5ms2Xb",2023-01-31 23:45:26+00:00
4,1620568862688149507,Workers are putting final touches on floats for the San Francisco Lunar New Year parade in Chinatown https://t.co/n5NTAd1JS5,2023-01-31 23:45:00+00:00
5,1620567691101671424,"Italy facing attacks by international anarchists, foreign minister says https://t.co/K6eX9jxUf4 https://t.co/PAyRfH5GzF",2023-01-31 23:40:20+00:00
6,1620567604183146503,"The Jonas Brothers received a star on the Hollywood Walk of Fame in Los Angeles. The band launched in 2005, became a teen sensation and called it quits in October 2013 to work on solo projects. They reunited in 2019 with the hit single 'Sucker' https://t.co/wEQS76DyjG",2023-01-31 23:40:00+00:00
7,1620566471930777601,"Pope Francis denounced the ‘poison of greed’ for mineral resources driving conflict in Democratic Republic of Congo as he began a visit there, saying the rich world could no longer ignore the tragic plight of many African nations https://t.co/QcmNThoJrk https://t.co/QrgxnVsOkT",2023-01-31 23:35:30+00:00
8,1620566425365520387,U.S. execs sound a note of caution even as earnings outstrip estimates https://t.co/EQ8WNAKa9w https://t.co/fQyAKxsQak,2023-01-31 23:35:19+00:00
9,1620565229556977675,Amgen revenue falls slightly as Lilly COVID deal contributes less https://t.co/NHC2kq1XqB https://t.co/MkC9iHfq0x,2023-01-31 23:30:34+00:00
10,1620565087701417984,"Dubai-based art studio Mawaheb, which means talent in Arabic, first opened in 2010 to give a positive, safe, and creative environment for artists with special needs. It now showcases and sells work by more than 18 artists https://t.co/bfDsPR8n4x",2023-01-31 23:30:00+00:00
11,1620563920560820227,Explainer: Why are there protests in Peru and what comes next? https://t.co/VfuHBxjyr9 https://t.co/PZCDTaiSBl,2023-01-31 23:25:21+00:00
12,1620562657421008897,"Snap swings to quarterly net loss, expects lower Q1 rev; shares fall https://t.co/vdK3Z38JW6 https://t.co/a1o1Wx5eE7",2023-01-31 23:20:20+00:00
13,1620561405706477570,Investor group bans carbon removal from CO2 reduction plans https://t.co/seZA5HPA8v https://t.co/mD1xbN1msD,2023-01-31 23:15:22+00:00
14,1620560121456693248,Canadian province tries decriminalizing drugs to fight overdose crisis https://t.co/9Qu2heArxW https://t.co/SyqwHHCBu3,2023-01-31 23:10:16+00:00
15,1620560054515634184,"Carnival celebrations began in La Paz, Bolivia, with the resuscitation of ‘Pepino the Cucumber,’ the spirit of carnival in the Andean nation https://t.co/KLi6i3QPL0",2023-01-31 23:10:00+00:00
16,1620558881373003778,"AMD revenue beats targets, Wall St relieved after Intel's grim outlook https://t.co/IrLbzAcIPX https://t.co/gHs1vwgXH9",2023-01-31 23:05:20+00:00
17,1620557708440002561,U.S. appeals court tosses $185 million Quinn Emanuel fee award in Obamacare case https://t.co/2vIDSMv33Z https://t.co/81rIYsjJ8U,2023-01-31 23:00:40+00:00
18,1620557668862627840,"A three-month-old baby boy in Kabul was one of at least 171 people who have died due to the cold weather in Afghanistan, in a bitter freezing snap that has hit just as the country is experiencing a severe humanitarian crisis https://t.co/llFiqVvTQL https://t.co/q2eTdteyjO",2023-01-31 23:00:31+00:00
19,1620556405672484869,Tesla Inc disclosed the U.S. Justice Department has sought documents related to its Full Self-Driving (FSD) and Autopilot driver-assistance systems as regulatory scrutiny intensifies https://t.co/otzyBLhyTw https://t.co/WGsK8CueRi,2023-01-31 22:55:30+00:00
20,1620556371279093760,'Farewell to a wonderful beast': Branson's homage to Boeing 747 https://t.co/n7kAdYg0s5 https://t.co/HPSrAC4KAB,2023-01-31 22:55:22+00:00
21,1620555122337103878,China 'seriously concerned' about report U.S. has halted approvals of exports to Huawei https://t.co/1736Dcc2ts https://t.co/mwu1pSbPsz,2023-01-31 22:50:24+00:00
22,1620555021782814736,"🏒 With only one skating rink in the country, which is not always available, Kenya's only ice hockey team have to get creative about their training https://t.co/UemTj8kk9d https://t.co/VTqJKvLWoD",2023-01-31 22:50:00+00:00
