id,text,sentiment
f87dea47db,last session day,neutral
96d74cb729,shanghai also really exciting precisely skyscraper galore good tweeps china sh bj,positive
eee518ae67,recession hit veronique branquinho quit company shame,neutral
01082688c6,happy bday,positive
33987a8ee5,like,neutral
726e501993,thats great weee visitor,positive
261932614e,think everyone hate lol,neutral
afa11da83f,soooooo wish could im school myspace completely blocked,positive
e64208b4ef,within short time last clue,neutral
37bcad24ca,get day alright havent done anything yet leaving soon stepsister though,neutral
24c92644a4,bike put holdshould known argh total bummer,neutral
43b390b336,checked didnt win,positive
69d6b5d93e,youre twitter tavern bore much,positive
5c1e0b61a1,im va weekend youngest son turn 2 tomorrowit make kinda sad getting big check twipics,negative
504e45d9d9,coming socket feel like phone hole virgin thats loose,negative
ae93ad52a0,hot today dont like hate new timetable bad week,negative
9fce30159a,miss,neutral
00d5195223,cramp,neutral
33f19050cf,guy didnt say hi answer question yesterday nice song,positive
f7718b3c23,im going spiritual stagnentation exploding ego realise im great im ok,positive
9ef44428d0,stupid storm river u tonight,negative
be634ebeb0,dead grandpa pay attention,negative
3dcf4f7e13,need retail therapy bad ahhhgimme money geebus,negative
f0ef04109b,go sleep,neutral
8be365118e,lame go make breakfast,negative
c50bdd4567,thats cool,positive
334954f215,hey people dont hate grounded haha im sat eating apple watching death note anime,negative
b783916431,huh another scarepoint coding sunday,neutral
1fa8e6ad66,look found,neutral
be38b29042,ac fan doesnt swing way sweating hot humid day,positive
95701e8ed9,guess depends want jury,neutral
4dd58ecd2c,resorted eating mickey d alone,neutral
cf553cccd5,faux gothy chick looking sorry going camden like poppunk jimmy eat world,negative
55c69c2d52,ask twitter id sun sign,neutral
9b1a52cc02,whered go,neutral
cce5c4744a,watching body liesgood film,neutral
c7f9d559e2,happy mother day mumm xoxo,positive
3d2478db59,really need put laptop start getting ready shindigbut ive missed twitterloves day,positive
6d846d7d50,im sorry least friday,negative
599f51af6b,feel sorry every time im printing use like 200 new paper,negative
87daa62920,4n rog never heard esti beat acum u tweet much,positive
6506dc55ff,always forget something travel newark airport,neutral
746d87f93e,left car walked home might need someone rescue petrol light flashing,positive
ef7ef8e474,im updating bretts phone beep really looking wedding stuff againfor next five month,positive
d3d7b13278,hi agree small child running happy breaking tear,positive
ddc07db84e,hope ur havin fun da club,positive
67afe60d31,miss old phone worked good dropped want new one birthday,positive
17d18ba9ef,think sg wonderful,positive
ab57d75f20,im really sorry know wallah u feel life shittttttttt,negative
f0acd25d8e,happy,positive
cf3b068b03,watching acoustic performance mood good friend episode miss show,positive
d6c34fa875,ill oscillate one,negative
614aed9113,im tiredand insomnia,neutral
dfa577d3c1,thanks ennio,positive
10dcbe4dfb,totally come get bring kelslaws house,neutral
a0bfb12773,seem nice youre generous know stuff,positive
71f4a9b495,u dirrrrrty oh pick hawk figured needed longshot better bet car,positive
d33ed264b3,almost got kitty yesterdaybut didnt work,neutral
77f88ea9e2,reality need check school time party tonight tho im going bed night night,neutral
fe1deac869,caladesi definitely nice peaceful way spend sunday got lil tan,positive
e591a725ef,still dont know would though,neutral
2dbb28cc29,xo dang certain okay,positive
a7e4ad250a,change plan staying brandon papaya salad,neutral
7d87899024,dear rain suck got ta change plan tonight,neutral
461b51fa58,starbucks love eff school work later,positive
c31d79c440,cried whilst watching hollyoaks need life lol,positive
32ee7ef6c2,hi recovering party looking forward exciting bank holiday around diy shopslife cant get much bettersurely,positive
29f805a7d2,terminator salvation,neutral
d41fe360e4,fortheloss dumbface u u wknd wan na seeeeeee ya,negative
a04c8c8695,enter registration detail every time update,neutral
25e42b2bf2,monday wont able love,positive
5843d17b1d,ur cuteim fan dream little dream kiss appearance like dawson creek make flick,negative
474d10ff48,tgif righti think broke toe last night bad foot,negative
38e69da3a1,oherr soon plan party saturday x,neutral
972dc5787d,lamont yr young looking dude,positive
0ba6aaf9aa,hmmm wrong link ignore tweet,negative
7a81537034,att cheated system green day ticket att,negative
311d2b185b,tracy berwick break achy breaky heart split way hallway,neutral
1e46d72ec6,yep wish playing dubiln,neutral
